x,y,class,n_x,n_y,n_class
-3.3245354156272193,-11.35813135682178,false,-3.330078886594155,-11.373885518168084,true
-3.3232981788452056,-11.353732761601073,false,-3.3355700385711278,-11.356475385515145,true
-3.3211975480606704,-11.34473423364613,false,-3.3436909629943794,-11.358493546544246,true
-3.312059279787515,-11.335279249257294,false,-3.3352019310414858,-11.3318465434143,true
-3.328023086911583,-11.318665993721753,false,-3.349285871904708,-11.321388404116,true
-3.321632471090039,-11.236975548348832,false,-3.3436908037607056,-11.224276200703049,true
-3.3104867733235577,-11.228413186994418,false,-3.3340952334942338,-11.227860118277556,true
-3.3203426993708045,-11.221129759710058,false,-3.3322455529692245,-11.237015943099317,true
-3.308062783146231,-11.209717315991396,false,-3.3310961392790426,-11.222385642882957,true
-3.3211053183124832,-11.209214102330154,false,-3.335043069406842,-11.189041514708258,true
-3.3244358766136024,-11.195063057380255,false,-3.337621881416004,-11.177392196558982,true
-3.3162633727961657,-11.19059308772229,false,-3.332186898076561,-11.16726103603336,true
-3.3272043499332455,-11.179451553342705,false,-3.3497670774713857,-11.178624484164564,true
-3.316617903056418,-11.177614932867087,false,-3.3396805725600403,-11.183451905685516,true
-3.3200105636313944,-11.167978093195652,false,-3.333476503496977,-11.158752878242503,true
-3.3125688742531376,-11.161955460301444,false,-3.3354437151296903,-11.182670977574837,true
-3.320211464105064,-11.129071289884756,false,-3.335785060206876,-11.107435079718321,true
-3.3207870770208427,-11.100156977846428,false,-3.3330962084181563,-11.102409009907875,true
-3.328470171644125,-11.069751596002524,false,-3.3372119672408598,-11.073407804993991,true
-3.322575141285055,-11.06375143450031,false,-3.342231978486435,-11.072352914041794,true
-3.3266419605074584,-11.019107968844821,false,-3.331918435532953,-11.025883369544403,true
-3.3290064360445895,-10.975784621483008,false,-3.342804209258196,-10.98149657086329,true
-3.324411584904963,-10.973255492454216,false,-3.331226773202436,-10.971451319173203,true
-3.3235815609010184,-10.941421268451517,false,-3.3304534353672524,-10.95891235648499,true
-3.32195277582218,-10.932781144106157,false,-3.3353487168489626,-10.919779061042075,true
-3.3249751187021777,-10.91471722171992,false,-3.3349327028195184,-10.89705082664416,true
-3.329234658015625,-10.908641539631327,false,-3.3321105404335176,-10.913930024844088,true
-3.327389905508532,-10.861887361772181,false,-3.33395617393447,-10.87043444532768,true
-3.320253692718868,-10.790714221892799,false,-3.3369814774413715,-10.78872082079667,true
-3.3225384627345638,-10.79051725509588,false,-3.332063719184775,-10.805471686972101,true
-3.314968499959069,-10.78902296665381,false,-3.3368353252883285,-10.766022201911746,true
-3.328302121161308,-10.780242654752092,false,-3.337749426716705,-10.770377016023781,true
-3.3272166829692127,-10.77696696615528,false,-3.3491273995241406,-10.773769943712413,true
-3.3066604065197454,-10.767362409650438,false,-3.330350201932014,-10.767777281706381,true
-3.324985054877873,-10.761032665440828,false,-3.3424795686307807,-10.757873477507067,true
-3.315907022851374,-10.738837252191463,false,-3.3300317603398697,-10.751369204745094,true
-3.319216343771339,-10.714799054225843,false,-3.3333839456753234,-10.707203564708468,true
-3.3250471556786287,-10.696239603187426,false,-3.3342786385328322,-10.703983106833348,true
-3.324205171505888,-10.67643265722776,false,-3.335307278893768,-10.676938911233517,true
-3.3210389240791742,-10.634335874746185,false,-3.3417546226597654,-10.65351296486563,true
-3.3228559836038953,-10.621353379056696,false,-3.3432201420973633,-10.629801125660233,true
-3.327675635345608,-10.605173306969343,false,-3.349764958258669,-10.617613193341947,true
-3.3290099380989435,-10.59652354196687,false,-3.331481751825117,-10.601079607641827,true
-3.3275591218730547,-10.592746069379634,false,-3.349196411724301,-10.612142177658404,true
-3.3176749251062985,-10.589811536038361,false,-3.339128213894288,-10.587542788681214,true
-3.3103498743591344,-10.589542049699832,false,-3.33310542285026,-10.588425348264977,true
-3.3237570407773647,-10.510350524891878,false,-3.3467490360950034,-10.500313902935835,true
-3.3269710661841234,-10.503981349607288,false,-3.343039862976548,-10.513507865198683,true
-3.3270658715662957,-10.481212221631697,false,-3.349918102155017,-10.481413590885468,true
